Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1000766|59th Street|NEW YORK|NY|10019|850 12TH AVE|40.7711|-73.9911|271673.922|270998.8|216.5|458.622|271673.922|
1007733|69TH ST WWTP|HOUSTON|TX|77020|2525 SSGT MACARIO GARCIA DR|29.75579|-95.29791|27213.548|27185.6|12.75|15.198|27213.548|
1000767|74th Street|NEW YORK|NY|10021|506 E 75TH ST|40.768|-73.9515|387617.228|386312.1|385.5|919.628|387617.228|
1001033|A B Brown Generating Station|MOUNT VERNON|IN|47620|8511 WELBORN ROAD|37.9053|-87.715|2188497.224|2171148.9|6348.25|11000.074||2188497.224
1001607|A B Paterson|NEW ORLEANS|LA|70126|5400 DWYER RD|30.0158|-90.0258|0|0||||0
1005445|AAP ST MARYS CORP|SAINT MARYS|OH|45885|1100 MCKINLEY RD.|40.55359|-84.3723|27551.296|27522.8|13|15.496|27551.296|
1002853|ABBOTT NUTRITION|STURGIS|MI|49091|901 NORTH CENTERVILLE ROAD|41.8095|-85.426|27764.016|27694.2|27.5|42.316|27764.016|
1002983|ABBOTT PARK FACILITY|ABBOTT PARK|IL|60064|100 ABBOTT PARK RD|42.30227|-87.89065|105472.708|104824.4|239.75|408.558|105472.708|
1007514|ABBVIE LTD.|BARCELONETA|PR|00617|RD 2 KM 58.0|18.433237|-66.570509|117314.526|116917.8|117.5|279.226|117314.526|
1004511|ABC COKE|TARRANT|AL|35217|ONE RAILROAD AVENUE|33.580769|-86.781281|208846|208821|25||185809|
1002047|ABE South Dakota, LLC - Aberdeen|Aberdeen|SD|57401|38469 133rd Street|45.459444|-98.5325|79648.244|79564.9|37.75|45.594|79648.244|
1002074|ABE South Dakota, LLC - Huron|HURON|SD|57350|694 W PARK AVE NW|44.374508|-98.253288|4568.732|4563.8|2.25|2.682|4568.732|
1005353|ABERDEEN ENERGY LLC|MINA|SD|57451|13435 370TH AVENUE|45.442417|-98.787139|155379.764|155219.2|73.25|87.314|155379.764|
1006971|ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area|APG|MD|21005|4304 Susquehanna Ave|39.3954|-76.30773|54666.7|54571.6|35.5|59.6|54666.7|
1003091|ABRAHAM COMPRESSOR STATION|CANADIAN|TX|79014|9835 US HWY 60|35.757778|-100.486433|29516.788|29486.1|14|16.688|29516.788|
1002627|ABSOLUTE ENERGY LLC|ST ANSGAR (MONA)|IA|50472|1372 STATELINE ROAD|43.49951|-92.91709|166627.556|166452.1|79.5|95.956|166627.556|
1002685|AC 857 A|Offshore|TX|00000||26.29555555|-94.89777777|54024.546|53920.4|36.5|67.646|54024.546|
1006529|ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL|EGAN|LA|70531|611 PETAL RD|30.256038|-92.532637|46724.25||46724.25|||
1004830|ACE Cogeneration Company|Trona|CA|93562|12801 Mariposa Street|35.7655|-117.3821|783183.548|775640|2775.25|4768.298|783183.548|
